Divisions		Files Generated		Time
6397		2		12.121000
6398		2		11.794000
6399		2		12.345000
6400		2		13.075000
6401		2		12.340000
6402		2		12.017000
6403		2		11.971000
6404		2		11.695000
6405		2		12.192000
6406		2		11.703000
6407		2		12.132000
6408		2		12.161000
6409		2		11.762000
6410		2		12.231000
6411		2		11.756000
6412		2		11.675000
6413		2		12.357000
6414		2		11.681000
6415		2		11.671000
6416		2		12.418000
6417		2		13.127000
6418		2		12.360000
6419		2		12.073000
6420		2		12.098000
6421		2		12.255000
6422		2		11.861000
6423		2		12.159000
6424		2		12.161000
6425		2		12.357000
6426		2		12.573000
6427		2		12.342000
6428		2		11.947000
6429		2		11.963000
6430		2		11.733000
6431		2		12.314000
6432		2		12.131000
6433		2		12.120000
6434		2		12.220000
6435		2		11.810000
6436		2		12.173000
6437		2		11.731000
6438		2		11.743000
6439		2		12.262000
6440		2		11.775000
6441		2		13.682000
6442		2		12.020000
6443		2		12.571000
6444		2		13.025000
6445		2		11.832000
6446		2		12.152000
6447		2		12.715000
6448		2		11.735000
6449		2		13.508000
6450		2		12.828000
6451		2		12.355000
6452		2		12.437000
6453		2		11.729000
6454		2		12.766000
6455		2		11.744000
6456		2		11.696000
6457		2		13.124000
6458		2		11.816000
6459		2		12.803000
6460		2		11.783000
6461		2		11.724000
6462		2		12.816000
6463		2		11.722000
6464		2		12.550000
6465		2		12.770000
6466		2		12.589000
6467		2		12.813000
6468		2		11.822000
6469		2		12.261000
6470		2		12.284000
6471		2		11.698000
6472		2		12.495000
6473		2		12.328000
6474		2		13.197000
6475		2		12.898000
6476		2		11.905000
6477		2		13.148000
6478		2		12.594000
6479		2		11.756000
6480		2		12.555000
6481		2		12.314000
6482		2		12.728000
6483		2		11.798000
6484		2		11.758000
6485		2		12.803000
6486		2		11.791000
6487		2		12.588000
6488		2		11.785000
6489		2		11.692000
6490		2		12.949000
